Bug list,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defect ID,Module/Function,Title,Description,QC Activity,Severity,Priority,Status,Created Date,Assigned to,Corrective Action,Note,,,,,,,,,,,,,,,,
??ng ký ?ng viên,,,,,,,,,,,,,,,,,,,,,,,,,,,
[UC01-7],??ng ký ?ng viên,Ki?m tra b? tr?ng các tr??ng không b?t bu?c,"B? tr?ng các tr??ng b?t bu?c
Expect: Cho phép t?o tài kho?n",Document Review,Medium,Low,Assigned,17/04/2024,Nguy?n Th? Tú Vi,,"Hi?n t?i các tr??ng không b?t bu?c nh?p l?i b?t bu?c ph?i nh?p.
EV: https://drive.google.com/file/d/18Oe8XZqrEzFYGj3tRzcjg_E2_C4fEV4d/view?usp=sharing",,,,,,,,,,,,,,,,
[UC01-8],??ng ký ?ng viên,??ng ký v?i Tài kho?n ?ã t?n t?i,"??ng ký v?i Tài kho?n ?ã t?n t?i
Expect: ??ng ký không thành công và hi?n th? thông báo ""Tài kho?n ?ã t?n t?i""",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"V?n có th? t?o TK ?ã t?n t?i.
EV: 
https://drive.google.com/file/d/1i8xdRqWumsJT1TroEgcI5l8DUbZrioXO/view?usp=sharing",,,,,,,,,,,,,,,,
[UC01-9],??ng ký ?ng viên,??ng ký tài kho?n v?i m?t Email ?ã t?n t?i trên h? th?ng,"??ng ký tài kho?n v?i m?t Email ?ã t?n t?i trên h? th?ng
Ex: ??ng ký không thành công và hi?n th? thông báo ""Email ?ã t?n t?i trên h? th?ng""",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"V?n có th? t?o TK ?ã t?n t?i.
EV: 
https://drive.google.com/file/d/1i8xdRqWumsJT1TroEgcI5l8DUbZrioXO/view?usp=sharing",,,,,,,,,,,,,,,,
[UC01-11],??ng ký ?ng viên,??ng ký tài kho?n v?i m?t S?T ?ã t?n t?i trên h? th?ng,"??ng ký tài kho?n v?i m?t S?T ?ã t?n t?i trên h? th?ng
Ex: ??ng ký không thành công và hi?n th? thông báo ""Email ?ã t?n t?i trên h? th?ng""",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"V?n có th? t?o SDT ?ã t?n t?i.
EV: 
https://drive.google.com/file/d/1i8xdRqWumsJT1TroEgcI5l8DUbZrioXO/view?usp=sharing",,,,,,,,,,,,,,,,
[UC01-12],??ng ký ?ng viên,Nh?p sai ??nh d?ng S?T,"Nh?p sai ??nh d?ng S?T
Expect: ??ng ký không thành công và hi?n th? thông báo ""Email ho?c S? ?i?n tho?i không h?p l?""",Document Review,Medium,Low,Assigned,17/04/2024,Nguy?n Th? Tú Vi,,"Không hi?n th? thông báo nh? yêu c?u.
EV:
https://drive.google.com/file/d/1eL4CVafKne6iodnGWI6_98eb8-NYZ7E7/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC01-13],??ng ký ?ng viên,Nh?p sai ??nh d?ng M?t kh?u,"Nh?p m?t kh?u ít h?n 8 ký t?, có ch? hoa, th??ng, s? và ký t? ??c bi?t
Expect: hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,17/04/2024,Nguy?n Th? Tú Vi,,"Hi?n th? sai câu thông báo và gi?i h?n ký t? không ?úng nh? yêu c?u (Yêu c?u t?i thi?u 8 ký t? nh?ng h? th?ng ?ang là 5)
EV: https://drive.google.com/file/d/1zluaXb13DIEHXaYVELHW82WdkRJW2sfK/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC01-14],??ng ký ?ng viên,Nh?p sai ??nh d?ng M?t kh?u,"Nh?p m?t kh?u thi?u ch? hoa, >= 8 ký t?, có  ch? th??ng, s? và ký t? ??c bi?t",Document Review,Medium,Low,Assigned,17/04/2024,Nguy?n Th? Tú Vi,,"Không hi?n th? thông báo nh? yêu c?u.
EV:
https://drive.google.com/file/d/1eL4CVafKne6iodnGWI6_98eb8-NYZ7E7/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC01-15],??ng ký ?ng viên,Nh?p sai ??nh d?ng M?t kh?u,"Nh?p m?t kh?u thi?u ch? th??ng, >= 8 ký t?, có ch? hoa, s? và ký t? ??c bi?t",Document Review,Medium,Low,Assigned,17/04/2024,Nguy?n Th? Tú Vi,,"Không hi?n th? thông báo nh? yêu c?u.
EV:
https://drive.google.com/file/d/1eL4CVafKne6iodnGWI6_98eb8-NYZ7E7/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC01-16],??ng ký ?ng viên,Nh?p sai ??nh d?ng M?t kh?u,"Nh?p m?t kh?u thi?u ch? s? , >= 8 ký t?, có ch? hoa, th??ng và ký t? ??c bi?t",Document Review,Medium,Low,Assigned,17/04/2024,Nguy?n Th? Tú Vi,,"Không hi?n th? thông báo nh? yêu c?u.
EV:
https://drive.google.com/file/d/1eL4CVafKne6iodnGWI6_98eb8-NYZ7E7/view?usp=drive_link",,,,,,,,,,,,,,,,
